loan_id,customer_id,loan_type,principal,interest_rate,start_date,term_months
101,1,Home,5000000.00,7.50,2021-01-15,240
102,2,Car,800000.00,9.00,2021-03-10,60
103,3,Personal,300000.00,12.00,2021-05-05,36
104,4,Home,4000000.00,7.20,2021-07-01,240
105,5,Car,900000.00,8.50,2021-09-15,60
106,6,Personal,500000.00,11.50,2021-11-20,48
107,7,Home,3500000.00,7.80,2022-01-25,240
108,8,Car,750000.00,9.20,2022-03-12,60
109,9,Personal,450000.00,12.50,2022-05-19,36
110,10,Home,6000000.00,7.00,2022-07-30,240
111,1,Car,700000.00,8.80,2022-09-01,60
112,2,Personal,350000.00,11.00,2022-10-05,36
113,3,Home,4500000.00,7.30,2022-11-20,240
114,4,Car,850000.00,9.50,2023-01-15,60
115,5,Personal,400000.00,12.20,2023-02-20,36
